start_stop,end_stop,start_sequence,end_sequence,length,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins]
PF_B10_C,PF_B11_C,26,27,1.7515999999999963,26.273796296296247,1.9568263680164417e-05,0.0,4.0,0.0,0.0,1.8370702541106128,0.630167356585824,2.0
PF_B11_C,PF_B10_C,1,2,1.753,35.059999999999995,0.0,0.0,3.0,0.0,0.0,2.0328947368421053,0.5818782046061449,2.0
PF_B10_C,PF_B09_C,2,3,1.6796,33.59199999999999,2.1163030589142842e-16,0.0,3.0,0.0,0.0,1.8370702541106128,0.630167356585824,2.0
PF_B09_C,PF_B08_C,3,4,1.7784000000000004,35.568000000000005,0.0,0.0,3.0,0.0,0.0,1.8502269288956128,0.5868687232797832,2.0
PF_B08_C,PF_B07_C,4,5,1.4544999999999995,29.089999999999982,2.4438244192178985e-16,0.0,3.0,0.0,0.0,1.8809891808346213,0.6061704064626671,2.0
PF_B07_C,PF_B06_C,5,6,1.8277,36.553999999999995,1.944817321087942e-16,0.0,3.0,0.0,0.0,1.7808823529411764,0.6065810193283039,2.5
PF_B06_C,PF_B05_C,6,7,1.3378999999999994,26.75799999999998,2.6568073979762565e-16,0.0,3.0,0.0,0.0,1.7958271236959762,0.6457542774877318,3.0
PF_B05_C,PF_B04_C,7,8,1.0002000000000013,30.006000000000032,2.369221234254767e-16,0.0,2.0,0.0,0.0,1.8030075187969925,0.5961712342073193,2.0
PF_B04_C,PF_B35_C,8,9,0.9390000000000001,28.170000000000012,3.785455396967444e-16,0.0,2.0,0.0,0.0,2.1113074204946995,0.5705949886625827,2.0
PF_B35_C,PF_B03_C,9,10,0.7932999999999986,23.79899999999996,1.4935680565370128e-16,0.0,2.0,0.0,0.0,1.7655786350148368,0.7044054718921151,3.0
PF_B03_C,PF_B02_2,10,11,0.6487000000000016,19.46100000000005,0.0,0.0,2.0,0.0,0.0,1.9570957095709571,0.5842070273405405,2.0
PF_B02_2,PF_B01_2,11,12,0.38709999999999845,11.612999999999953,0.0,0.0,2.0,0.0,0.0,3.6408668730650153,0.49416511420873854,3.0
PF_B01_2,PF_A01_2,12,13,0.3341000000000012,20.046000000000074,1.7731929650565788e-16,0.0,1.0,0.0,0.0,3.6408668730650153,0.49416511420873854,3.0
PF_A01_2,PF_A02_C,13,14,0.7582000000000004,22.746000000000016,1.5627110778828931e-16,0.0,2.0,0.0,0.0,3.6470588235294117,0.4997737351680679,3.0
PF_A02_C,PF_A03_2,14,15,0.6902999999999988,20.708999999999964,0.0,0.0,2.0,0.0,0.0,2.235294117647059,0.6201691004849718,3.0
PF_A03_2,PF_A04_C,15,16,1.0875000000000004,32.62500000000001,2.1790299572428692e-16,0.0,2.0,0.0,0.0,3.6470588235294117,0.4997737351680679,3.0
