start_stop,end_stop,start_sequence,end_sequence,length,mean_speed [km/h],covariance_speed [%],buffer_speed [km/h],mean_time [mins],covariance_time [%],buffer_time [mins],mean_headway [mins],covariance_headway [%],buffer_headway [mins],start_lat,start_lon,end_lat,end_lon
PF_B09_C,PF_B08_C,3,4,1.7784000000000004,35.568000000000005,0.0,0.0,3.0,0.0,0.0,16.159629248197735,5.471321334422942,9.0,39.01530824,-77.04303038,38.99369139,-77.03118006
PF_B08_C,PF_B07_C,4,5,1.4544999999999997,29.089999999999986,2.4438244192178985e-16,0.0,3.0,0.0,0.0,16.159629248197735,5.471321334422942,9.0,38.99369139,-77.03118006,38.97602057,-77.01812692
PF_B07_C,PF_B06_C,5,6,1.8277,36.554,1.944817321087942e-16,0.0,3.0,0.0,0.0,16.159629248197735,5.471321334422942,9.0,38.97602057,-77.01812692,38.9517915,-77.00215509
PF_B06_C,PF_B05_C,6,7,1.3378999999999994,26.75799999999998,2.6568073979762565e-16,0.0,3.0,0.0,0.0,16.159629248197735,5.471321334422942,9.0,38.9517915,-77.00215509,38.93311815,-76.99452926
PF_B05_C,PF_B04_C,7,8,1.0002000000000013,30.006000000000032,2.369221234254767e-16,0.0,2.0,0.0,0.0,16.159629248197735,5.471321334422942,9.0,38.93311815,-76.99452926,38.9209079,-76.99593988
PF_B04_C,PF_B35_C,8,9,0.939,28.17000000000001,3.7854553969674444e-16,0.0,2.0,0.0,0.0,16.159629248197735,5.471321334422942,9.0,38.9209079,-76.99593988,38.906609,-77.00330889
PF_B35_C,PF_B03_C,9,10,0.7932999999999986,23.79899999999996,1.4935680565370128e-16,0.0,2.0,0.0,0.0,16.159629248197735,5.471321334422942,9.0,38.906609,-77.00330889,38.89748841,-77.00746385
PF_B03_C,PF_B02_2,10,11,0.6487000000000016,19.46100000000005,0.0,0.0,2.0,0.0,0.0,16.159629248197735,5.471321334422942,9.0,38.89748841,-77.00746385,38.89625441,-77.01676321
PF_B02_2,PF_B01_2,11,12,0.3870999999999984,11.612999999999952,0.0,0.0,2.0,0.0,0.0,16.159629248197735,5.471321334422942,9.0,38.89625441,-77.01676321,38.89841787,-77.02279679
PF_B01_2,PF_A01_2,12,13,0.3341000000000012,20.046000000000078,1.7731929650565788e-16,0.0,1.0,0.0,0.0,16.18228630278064,5.471271953537521,9.0,38.89841787,-77.02279679,38.89837599,-77.02808402
PF_A01_2,PF_A02_C,13,14,0.7582000000000004,22.746000000000016,1.5627110778828931e-16,0.0,2.0,0.0,0.0,15.6885698509111,5.649180715044508,9.0,38.89837599,-77.02808402,38.903139,-77.03966617
