start_stop,end_stop,start_sequence,end_sequence,length
PF_D08_C,PF_D09_C,21,22,2.017199999999999
PF_D09_C,PF_D10_C,22,23,0.976700000000001
PF_D10_C,PF_D11_1,23,24,1.1505999999999972
PF_D11_1,PF_D12_C,24,25,1.825400000000002
PF_D12_C,PF_D13_C,25,26,1.4954
PF_K06_2,PF_K05_C,1,2,2.1059
PF_K05_C,PF_N01_C,23,24,4.693399999999997
PF_N01_C,PF_N02_C,24,25,0.8338999999999999
PF_N02_C,PF_N03_C,25,26,0.7011000000000003
PF_N03_C,PF_N04_C,26,27,0.6885000000000012
PF_N04_C,PF_N06_C,27,28,5.906400000000001
PF_N06_C,PF_N07_C,28,29,1.1550999999999974
PF_N07_C,PF_N08_C,29,30,1.3477999999999994
PF_N08_C,PF_N09_C,30,31,1.7223000000000042
PF_N09_C,PF_N10_C,31,32,2.080300000000001
PF_N10_C,PF_N11_C,32,33,2.8751999999999995
PF_N11_C,PF_N12_C,33,34,1.960099999999997
PF_N06_C,PF_N04_C,1,2,5.8761
PF_N04_C,PF_N03_C,2,3,0.6885000000000003
PF_N03_C,PF_N02_C,3,4,0.7010999999999994
PF_N02_C,PF_N01_C,4,5,0.7877000000000001
PF_N01_C,PF_K05_C,5,6,4.6707
PF_N12_C,PF_N11_C,1,2,1.9602
PF_N11_C,PF_N10_C,2,3,2.8733
PF_N10_C,PF_N09_C,3,4,2.0799000000000003
PF_N09_C,PF_N08_C,4,5,1.7223999999999995
PF_N08_C,PF_N07_C,5,6,1.3476999999999997
PF_N07_C,PF_N06_C,6,7,1.155100000000001
